,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
hap1+INS_CHUK,0.099561766,0.8571428571428571,0.080176644,0.0521714807933144,0.8571428571428571,1,6,7,hap1+INS
hap1+INS_IRS4,0.0016558362,1.0,0.010892659,0.054557390762590044,0.5,0,2,7,hap1+INS
hap1+INS_MTOR,0.07303971,0.88,0.13492924,1.0948150707120614,0.4,0,25,7,hap1+INS
k562+IFNB_CEBPG,0.05494067,0.92,0.26256484,0.8014285139669775,0.64,0,25,7,k562+IFNB
k562+IFNB_CRKL,0.05196853,1.0,0.39042377,0.0005847092796899937,1.0,0,1,7,k562+IFNB
k562+IFNB_HERC5,0.1270011,0.8666666666666667,0.19750966,1.2580807063782826,0.4666666666666667,0,15,7,k562+IFNB
k562+IFNB_ID1,0.2751276,1.0,0.6459136,3.634620123903137,0.4,0,25,7,k562+IFNB
k562+IFNB_NFKB1,0.12867971,0.92,0.33795616,1.3934280641669057,0.56,0,25,7,k562+IFNB
k562+IFNB_ZBP1,0.018123189,1.0,0.28593957,1.5685344612418355,0.6666666666666666,0,3,7,k562+IFNB
a549+TNFA_CASP10,0.3174175,0.88,0.54649866,0.9706851579764161,0.68,0,25,8,a549+TNFA
a549+TNFA_CEBPB,0.33741006,0.8,0.58406085,0.5684880917771065,0.84,0,25,8,a549+TNFA
a549+TNFA_ITCH,0.16774459,0.76,0.14765887,0.7152753373308908,0.68,0,25,8,a549+TNFA
a549+TNFA_PTGS2,0.37097746,1.0,1.620753,2.183506756380462,1.0,0,2,8,a549+TNFA
a549+TNFA_TRAF1,0.067729205,0.6818181818181818,0.058409702,0.7353188236332842,0.5909090909090909,0,22,8,a549+TNFA
bxpc3+IFNG_CEBPB,0.15020618,0.76,0.26931986,0.17392177522336566,0.84,0,25,8,bxpc3+IFNG
bxpc3+IFNG_IRF7,0.021855779,1.0,0.07684223,0.25719533649403575,0.72,1,24,8,bxpc3+IFNG
bxpc3+IFNG_KIN,1.2637535,0.92,1.8601171,1.6776160407570608,0.68,0,25,8,bxpc3+IFNG
bxpc3+IFNG_RFX5,0.08497742,0.96,0.19658402,0.3895420730216466,0.68,1,24,8,bxpc3+IFNG
